"reviewStatus"	"reviewNote"	"genre"	"macroGenre"	"matchScore"	"reviewPriority"	"recommendation"	"riskFlags"	"title"	"creator"	"license"	"licenseUrl"	"referenceUrl"	"candidateAudioUrl"	"subject"	"identifier"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - February 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-February_2013"	"https://archive.org/download/The_Overnightscape_Underground-February_2013/onsug_Feb13_19_The_Overnightscape_951_Elevator_To_Brazil.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-February_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - January 2009"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/us/"	"https://archive.org/details/TheOvernightscapeUnderground-January2009"	"https://archive.org/download/TheOvernightscapeUnderground-January2009/onsug_Jan09_31_tmer1_Feb01.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"TheOvernightscapeUnderground-January2009"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - January 2011"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-January_2011"	"https://archive.org/download/The_Overnightscape_Underground-January_2011/onsug_Jan11_73_Insig_ClCh.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-January_2011"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - May 2012"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-May_2012"	"https://archive.org/download/The_Overnightscape_Underground-May_2012/onsug_May12_37_The_Overnightscape_879_Manhattan_Freedom.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-May_2012"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - May 2014"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-May_2014"	"https://archive.org/download/The_Overnightscape_Underground-May_2014/onsug_May14_63_The_Overnightscape_1081_The_Audio_Field_Trip_29.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-May_2014"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - September 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-September_2013"	"https://archive.org/download/The_Overnightscape_Underground-September_2013/onsug_Sep13_12_The_Overnightscape_1003_Subductivate.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-September_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"Overnightscape-  Vault 1 (1969–2006)"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/Overnightscape-Vault_1_1969-2006"	"https://archive.org/download/Overnightscape-Vault_1_1969-2006/onsug_vault_Misc_07_arcade.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"Overnightscape-Vault_1_1969-2006"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - August 2014"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-August_2014"	"https://archive.org/download/The_Overnightscape_Underground-August_2014/onsug_Aug14_32_Earweird_1-2-3-4.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-August_2014"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - February 2009"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/us/"	"https://archive.org/details/TheOvernightscapeUnderground-February2009"	"https://archive.org/download/TheOvernightscapeUnderground-February2009/onsug_Feb09_31_beneath_1.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"TheOvernightscapeUnderground-February2009"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - May 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-May_2013"	"https://archive.org/download/The_Overnightscape_Underground-May_2013/onsug_May13_58_The_Overnightscape_972_Walrus_Tut_Trio.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-May_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - September 2014"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-September_2014"	"https://archive.org/download/The_Overnightscape_Underground-September_2014/onsug_Sep14_16_Earweird_5-6-7-8.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-September_2014"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - April 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-April_2013"	"https://archive.org/download/The_Overnightscape_Underground-April_2013/onsug_Apr13_63_The_Overnightscape_968_Atom_Age_Vamp.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-April_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - July 2014"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-July_2014"	"https://archive.org/download/The_Overnightscape_Underground-July_2014/onsug_Jul14_07_The_Overnightscape_1091_Middle_of_the_Road.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-July_2014"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - The Rampler 1-100"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/us/"	"https://archive.org/details/TheOvernightscapeUnderground-TheRampler1-100"	"https://archive.org/download/TheOvernightscapeUnderground-TheRampler1-100/onsug_rampler_0079_oct08.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"TheOvernightscapeUnderground-TheRampler1-100"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - July 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-July_2013"	"https://archive.org/download/The_Overnightscape_Underground-July_2013/onsug_Jul13_55_Music_for_Night_Driving_in_VR.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-July_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"63"	"reject-or-review-carefully"	"long-mix-or-dj-set"	"[nwscomp0005] CC Europe Mixtape side A"	"Creative Commons Europe"	"CC-BY-SA"	"http://creativecommons.org/licenses/by-sa/3.0/"	"https://archive.org/details/nwscomp005"	"https://archive.org/download/nwscomp005/03Weapons.mp3"	"#cc10; Creative Commons; Creative Commons Europe; CC Europe; birthday; pop; indietronic; downtempo; triphop; electronic; hiphop; jazz; lounge; blues; folk; reggae"	"nwscomp005"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - Day 1"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/TheOvernightscapeUnderground-Day1"	"https://archive.org/download/TheOvernightscapeUnderground-Day1/onsug_day01_15_cd_memories.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"TheOvernightscapeUnderground-Day1"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - January 2014"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/4.0/"	"https://archive.org/details/The_Overnightscape_Underground-January_2014"	"https://archive.org/download/The_Overnightscape_Underground-January_2014/onsug_Jan14_17_Khaosology_QA.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-January_2014"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"81"	"review-first"	""	"[dystopiaq030] Dust Collector - Narcolepsy"	"Dust Collector"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/dystopiaq030"	"https://archive.org/download/dystopiaq030/19Wonderlost_wanderlost_wonderlustdayDreams.mp3"	"hip-hop; avant-garde; experimental; illbient; creative commons; dystopiaq"	"dystopiaq030"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - November 2008"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/us/"	"https://archive.org/details/TheOvernightscapeUnderground-November2008"	"https://archive.org/download/TheOvernightscapeUnderground-November2008/onsug_Nov08_23_Rampler_112.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"TheOvernightscapeUnderground-November2008"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - June 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-June_2013"	"https://archive.org/download/The_Overnightscape_Underground-June_2013/onsug_Jun13_18_Weasels_Go_Country.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-June_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - December 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/4.0/"	"https://archive.org/details/The_Overnightscape_Underground-December_2013"	"https://archive.org/download/The_Overnightscape_Underground-December_2013/onsug_Dec13_15_The_Overnightscape_1031_The_Bad_Bus_Midnight.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-December_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - August 2013"	"Frank Edward nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-August_2013"	"https://archive.org/download/The_Overnightscape_Underground-August_2013/onsug_Aug13_27_The_Overnightscape_996_Information_Hut.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-August_2013"
""	"Candidate only. Verify license, genre label, and audio quality before downloading outside the repo and importing as formal CC audio."	"シティ・ポップ"	"pop"	"61"	"7"	"reject-or-review-carefully"	"spoken-word"	"The Overnightscape Underground - November 2013"	"Frank Edward Nora"	"CC-BY-NC-ND"	"http://creativecommons.org/licenses/by-nc-nd/3.0/"	"https://archive.org/details/The_Overnightscape_Underground-November_2013"	"https://archive.org/download/The_Overnightscape_Underground-November_2013/onsug_Nov13_15_The_Overnightscape_1021_Mahalo.mp3"	"ons; onsug; overnightscape; overnightscape underground; frank nora; frank edward nora; nightpool; night pool; rampler; sheps; stream of consciousness; monologue; talk shows; internet radio; podcasting; bluffcosm; onsugta"	"The_Overnightscape_Underground-November_2013"
